x,y,window_center
6.297014639596001,-4.23837851428276,78300.5
5.157671485140866,-1.7526737958974343,78600.5
4.8406960920498046,0.0412823182656853,78900.5
6.39333118360855,2.1923479773999506,79200.5
6.0066552163081255,3.369507370531452,79500.5
3.8325799240941114,4.298771891795784,79800.5
4.643437981072846,0.011331375062573302,80100.5
4.15408207155396,-1.790254182446951,80400.5
1.7701716595317496,0.34547309222398803,80700.5
1.525180365964005,-1.0477426817452837,81000.5
0.15263406275409036,-0.2079173602736127,81300.5
2.3708204909924113,-2.7448254970989963,81600.5
4.079251683612963,-0.4710271630287337,81900.5
4.036867377248653,-1.2050078383298974,82200.5
5.568761973146257,-0.8987840126178445,82500.5
7.303560688906704,-0.11848671078253249,82800.5
5.55265348700027,2.9918211242558788,83100.5
6.823578611711939,5.923017567357394,83400.5
8.14925173883504,5.0328966746132195,83700.5
8.692882052385956,6.4804490287420835,84000.5
9.463945593830116,6.23352790649408,84300.5
9.729236085752927,7.302304968894225,84600.5
6.312174031572066,5.286545592737569,84900.5
7.939076729925662,1.8712519512279486,85200.5
7.5799561483663425,-1.368249986690078,85500.5
7.216033146095841,-0.8504767698282517,85800.5
7.469176707949378,-0.2431923326033324,86100.5
5.792680465700413,-1.674131857208497,86400.5
7.3748859684099966,1.6865382148142953,86700.5
8.88155785627703,1.6717165150911912,87000.5
10.261127706700362,3.7093602071977063,87300.5
7.090315623266926,6.240123387593421,87600.5
9.55974927630606,2.8232944682302588,87900.5
6.633360792764113,8.486188471188383,88200.5
6.1468221443492235,8.419904515545056,88500.5
4.415307739503202,6.255529056221705,88800.5
5.914954548092,4.078733624488152,89100.5
7.921998107601789,3.6685769404379904,89400.5
5.190355683870592,2.627836258043018,89700.5
3.464093298992879,0.18566669146579173,90000.5
4.19903631542711,0.18050861861872797,90300.5
6.136007331188545,-3.8813862367736545,90600.5
4.157474767671432,0.26699707496607544,90900.5
4.800784786648193,1.0106609786887661,91200.5
3.5514518447756527,4.052226607919597,91500.5
4.931566263471354,5.289808626193993,91800.5
4.1273271027073255,5.135385138337583,92100.5
5.212278088696981,5.131721652229261,92400.5
5.92173026598057,1.0794879569878586,92700.5
5.622342140942535,2.660479397495244,93000.5
2.946208796345041,3.263055030854888,93300.5
2.458244089360443,4.856596120730287,93600.5
3.928724514569773,4.97555506459779,93900.5
5.17212064931718,-0.8277364838720689,94200.5
4.470107910030116,-0.511134271888593,94500.5
5.551895748929818,-1.1415440594662345,94800.5
5.938172346105539,0.18573107854742177,95100.5
4.101058746865777,0.3406826638926719,95400.5
4.502345052815969,3.108212606504957,95700.5
6.545460251311687,2.5945257099295214,96000.5
7.891155900475993,0.46872121522036914,96300.5
8.251529807495434,0.055881015797922436,96600.5
10.094710413006695,-1.1161372336645115,96900.5
9.857179096115704,0.8408256057867345,97200.5
9.648559367399798,0.8968672284168981,97500.5
8.99083108195605,-0.15084567358035814,97800.5
