window_start,window_stop,window_center,window_size,prime_count,lane_01,lane_07,lane_11,lane_13,lane_17,lane_19,lane_23,lane_29,share_01,share_07,share_11,share_13,share_17,share_19,share_23,share_29,target_lane_count,target_lane_share,leader_lane,leader_count,leader_margin
12301,15300,13800.5,3000,317,39,38,38,41,45,38,39,39,0.12302839116719243,0.11987381703470032,0.11987381703470032,0.12933753943217666,0.14195583596214512,0.11987381703470032,0.12302839116719243,0.12302839116719243,38,0.11987381703470032,17,45,4
12601,15600,14100.5,3000,314,39,35,40,40,44,39,39,38,0.12420382165605096,0.11146496815286625,0.12738853503184713,0.12738853503184713,0.14012738853503184,0.12420382165605096,0.12420382165605096,0.12101910828025478,40,0.12738853503184713,17,44,4
12901,15900,14400.5,3000,317,37,38,41,38,48,40,38,37,0.1167192429022082,0.11987381703470032,0.12933753943217666,0.11987381703470032,0.15141955835962145,0.12618296529968454,0.11987381703470032,0.1167192429022082,41,0.12933753943217666,17,48,7
13201,16200,14700.5,3000,313,40,38,40,37,48,38,36,36,0.12779552715654952,0.12140575079872204,0.12779552715654952,0.1182108626198083,0.15335463258785942,0.12140575079872204,0.11501597444089456,0.11501597444089456,40,0.12779552715654952,17,48,8
13501,16500,15000.5,3000,312,39,37,41,41,45,36,38,35,0.125,0.11858974358974358,0.13141025641025642,0.13141025641025642,0.14423076923076922,0.11538461538461539,0.12179487179487179,0.11217948717948718,41,0.13141025641025642,17,45,4
13801,16800,15300.5,3000,307,39,35,40,41,45,36,38,33,0.1270358306188925,0.11400651465798045,0.13029315960912052,0.13355048859934854,0.1465798045602606,0.11726384364820847,0.1237785016286645,0.10749185667752444,40,0.13029315960912052,17,45,4
14101,17100,15600.5,3000,309,40,38,40,41,41,35,40,34,0.12944983818770225,0.12297734627831715,0.12944983818770225,0.13268608414239483,0.13268608414239483,0.11326860841423948,0.12944983818770225,0.11003236245954692,40,0.12944983818770225,13,41,0
14401,17400,15900.5,3000,315,38,41,43,40,41,38,41,33,0.12063492063492064,0.13015873015873017,0.1365079365079365,0.12698412698412698,0.13015873015873017,0.12063492063492064,0.13015873015873017,0.10476190476190476,43,0.1365079365079365,11,43,2
14701,17700,16200.5,3000,312,39,40,41,37,42,41,40,32,0.125,0.1282051282051282,0.13141025641025642,0.11858974358974358,0.1346153846153846,0.13141025641025642,0.1282051282051282,0.10256410256410256,41,0.13141025641025642,17,42,1
15001,18000,16500.5,3000,310,42,38,39,37,42,43,37,32,0.13548387096774195,0.12258064516129032,0.12580645161290321,0.11935483870967742,0.13548387096774195,0.13870967741935483,0.11935483870967742,0.1032258064516129,39,0.12580645161290321,19,43,1
15301,18300,16800.5,3000,309,40,38,40,39,40,44,34,34,0.12944983818770225,0.12297734627831715,0.12944983818770225,0.1262135922330097,0.12944983818770225,0.1423948220064725,0.11003236245954692,0.11003236245954692,40,0.12944983818770225,19,44,4
15601,18600,17100.5,3000,310,38,42,42,41,37,42,35,33,0.12258064516129032,0.13548387096774195,0.13548387096774195,0.13225806451612904,0.11935483870967742,0.13548387096774195,0.11290322580645161,0.1064516129032258,42,0.13548387096774195,07,42,0
15901,18900,17400.5,3000,298,38,39,39,39,34,38,36,35,0.12751677852348994,0.13087248322147652,0.13087248322147652,0.13087248322147652,0.11409395973154363,0.12751677852348994,0.12080536912751678,0.1174496644295302,39,0.13087248322147652,07,39,0
16201,19200,17700.5,3000,293,37,36,40,37,33,39,35,36,0.12627986348122866,0.12286689419795221,0.13651877133105803,0.12627986348122866,0.11262798634812286,0.13310580204778158,0.11945392491467577,0.12286689419795221,40,0.13651877133105803,11,40,1
16501,19500,18000.5,3000,300,38,39,39,38,32,41,35,38,0.12666666666666668,0.13,0.13,0.12666666666666668,0.10666666666666667,0.13666666666666666,0.11666666666666667,0.12666666666666668,39,0.13,19,41,2
16801,19800,18300.5,3000,301,38,41,40,37,32,40,35,38,0.12624584717607973,0.1362126245847176,0.132890365448505,0.12292358803986711,0.10631229235880399,0.132890365448505,0.11627906976744186,0.12624584717607973,40,0.132890365448505,07,41,1
17101,20100,18600.5,3000,300,38,40,40,37,32,41,34,38,0.12666666666666668,0.13333333333333333,0.13333333333333333,0.12333333333333334,0.10666666666666667,0.13666666666666666,0.11333333333333333,0.12666666666666668,40,0.13333333333333333,19,41,1
17401,20400,18900.5,3000,304,39,37,39,40,34,40,34,41,0.12828947368421054,0.12171052631578948,0.12828947368421054,0.13157894736842105,0.1118421052631579,0.13157894736842105,0.1118421052631579,0.13486842105263158,39,0.12828947368421054,29,41,1
17701,20700,19200.5,3000,298,39,36,40,41,32,36,36,38,0.13087248322147652,0.12080536912751678,0.1342281879194631,0.13758389261744966,0.10738255033557047,0.12080536912751678,0.12080536912751678,0.12751677852348994,40,0.1342281879194631,13,41,1
18001,21000,19500.5,3000,296,34,36,40,41,31,37,38,39,0.11486486486486487,0.12162162162162163,0.13513513513513514,0.13851351351351351,0.10472972972972973,0.125,0.12837837837837837,0.13175675675675674,40,0.13513513513513514,13,41,1
18301,21300,19800.5,3000,295,35,38,40,40,30,35,38,39,0.11864406779661017,0.1288135593220339,0.13559322033898305,0.13559322033898305,0.1016949152542373,0.11864406779661017,0.1288135593220339,0.13220338983050847,40,0.13559322033898305,11,40,0
18601,21600,20100.5,3000,297,33,36,38,38,36,39,37,40,0.1111111111111111,0.12121212121212122,0.12794612794612795,0.12794612794612795,0.12121212121212122,0.13131313131313133,0.12457912457912458,0.13468013468013468,38,0.12794612794612795,29,40,1
18901,21900,20400.5,3000,306,36,37,40,39,38,41,39,36,0.11764705882352941,0.12091503267973856,0.13071895424836602,0.12745098039215685,0.12418300653594772,0.13398692810457516,0.12745098039215685,0.11764705882352941,40,0.13071895424836602,19,41,1
19201,22200,20700.5,3000,313,38,40,38,42,38,41,40,36,0.12140575079872204,0.12779552715654952,0.12140575079872204,0.134185303514377,0.12140575079872204,0.13099041533546327,0.12779552715654952,0.11501597444089456,38,0.12140575079872204,13,42,1
19501,22500,21000.5,3000,303,37,34,37,41,41,38,39,36,0.12211221122112212,0.11221122112211221,0.12211221122112212,0.1353135313531353,0.1353135313531353,0.1254125412541254,0.12871287128712872,0.1188118811881188,37,0.12211221122112212,13,41,0
19801,22800,21300.5,3000,307,39,32,39,41,42,39,37,38,0.1270358306188925,0.10423452768729642,0.1270358306188925,0.13355048859934854,0.13680781758957655,0.1270358306188925,0.12052117263843648,0.1237785016286645,39,0.1270358306188925,17,42,1
20101,23100,21600.5,3000,309,39,31,40,39,47,38,38,37,0.1262135922330097,0.10032362459546926,0.12944983818770225,0.1262135922330097,0.15210355987055016,0.12297734627831715,0.12297734627831715,0.11974110032362459,40,0.12944983818770225,17,47,7
20401,23400,21900.5,3000,302,40,31,40,37,45,36,35,38,0.13245033112582782,0.10264900662251655,0.13245033112582782,0.12251655629139073,0.1490066225165563,0.11920529801324503,0.11589403973509933,0.12582781456953643,40,0.13245033112582782,17,45,5
20701,23700,22200.5,3000,307,38,33,39,37,48,38,34,40,0.1237785016286645,0.10749185667752444,0.1270358306188925,0.12052117263843648,0.1563517915309446,0.1237785016286645,0.11074918566775244,0.13029315960912052,39,0.1270358306188925,17,48,8
21001,24000,22500.5,3000,308,40,35,40,38,46,36,34,39,0.12987012987012986,0.11363636363636363,0.12987012987012986,0.12337662337662338,0.14935064935064934,0.11688311688311688,0.11038961038961038,0.1266233766233766,40,0.12987012987012986,17,46,6
21301,24300,22800.5,3000,309,41,33,39,38,47,38,36,37,0.13268608414239483,0.10679611650485436,0.1262135922330097,0.12297734627831715,0.15210355987055016,0.12297734627831715,0.11650485436893204,0.11974110032362459,39,0.1262135922330097,17,47,6
21601,24600,23100.5,3000,301,43,32,37,35,43,36,37,38,0.14285714285714285,0.10631229235880399,0.12292358803986711,0.11627906976744186,0.14285714285714285,0.11960132890365449,0.12292358803986711,0.12624584717607973,37,0.12292358803986711,01,43,0
21901,24900,23400.5,3000,295,42,31,36,36,41,36,33,40,0.1423728813559322,0.10508474576271186,0.12203389830508475,0.12203389830508475,0.13898305084745763,0.12203389830508475,0.11186440677966102,0.13559322033898305,36,0.12203389830508475,01,42,1
22201,25200,23700.5,3000,292,39,33,36,34,42,35,34,39,0.13356164383561644,0.11301369863013698,0.1232876712328767,0.11643835616438356,0.14383561643835616,0.11986301369863013,0.11643835616438356,0.13356164383561644,36,0.1232876712328767,17,42,3
22501,25500,24000.5,3000,295,40,35,35,34,41,36,35,39,0.13559322033898305,0.11864406779661017,0.11864406779661017,0.1152542372881356,0.13898305084745763,0.12203389830508475,0.11864406779661017,0.13220338983050847,35,0.11864406779661017,17,41,1
22801,25800,24300.5,3000,293,39,36,31,34,39,36,41,37,0.13310580204778158,0.12286689419795221,0.10580204778156997,0.11604095563139932,0.13310580204778158,0.12286689419795221,0.13993174061433447,0.12627986348122866,31,0.10580204778156997,23,41,2
23101,26100,24600.5,3000,288,38,36,28,36,34,40,39,37,0.13194444444444445,0.125,0.09722222222222222,0.125,0.11805555555555555,0.1388888888888889,0.13541666666666666,0.1284722222222222,28,0.09722222222222222,19,40,1
23401,26400,24900.5,3000,293,37,37,30,36,36,40,41,36,0.12627986348122866,0.12627986348122866,0.10238907849829351,0.12286689419795221,0.12286689419795221,0.13651877133105803,0.13993174061433447,0.12286689419795221,30,0.10238907849829351,23,41,1
23701,26700,25200.5,3000,291,36,39,32,33,34,38,43,36,0.12371134020618557,0.13402061855670103,0.10996563573883161,0.1134020618556701,0.11683848797250859,0.13058419243986255,0.14776632302405499,0.12371134020618557,32,0.10996563573883161,23,43,4
24001,27000,25500.5,3000,293,37,35,35,34,36,36,44,36,0.12627986348122866,0.11945392491467577,0.11945392491467577,0.11604095563139932,0.12286689419795221,0.12286689419795221,0.15017064846416384,0.12286689419795221,35,0.11945392491467577,23,44,7
24301,27300,25800.5,3000,289,37,35,35,35,36,33,41,37,0.12802768166089964,0.12110726643598616,0.12110726643598616,0.12110726643598616,0.1245674740484429,0.11418685121107267,0.14186851211072665,0.12802768166089964,35,0.12110726643598616,23,41,4
24601,27600,26100.5,3000,286,36,38,36,35,36,31,36,38,0.1258741258741259,0.13286713286713286,0.1258741258741259,0.12237762237762238,0.1258741258741259,0.10839160839160839,0.1258741258741259,0.13286713286713286,36,0.1258741258741259,07,38,0
24901,27900,26400.5,3000,293,35,38,36,38,39,29,39,39,0.11945392491467577,0.1296928327645051,0.12286689419795221,0.1296928327645051,0.13310580204778158,0.09897610921501707,0.13310580204778158,0.13310580204778158,36,0.12286689419795221,17,39,0
25201,28200,26700.5,3000,292,38,37,38,37,37,29,37,39,0.13013698630136986,0.1267123287671233,0.13013698630136986,0.1267123287671233,0.1267123287671233,0.09931506849315068,0.1267123287671233,0.13356164383561644,38,0.13013698630136986,29,39,1
25501,28500,27000.5,3000,290,37,38,37,34,35,30,38,41,0.12758620689655173,0.1310344827586207,0.12758620689655173,0.11724137931034483,0.1206896551724138,0.10344827586206896,0.1310344827586207,0.1413793103448276,37,0.12758620689655173,29,41,3
25801,28800,27300.5,3000,296,37,39,40,37,37,32,33,41,0.125,0.13175675675675674,0.13513513513513514,0.125,0.125,0.10810810810810811,0.11148648648648649,0.13851351351351351,40,0.13513513513513514,29,41,1
26101,29100,27600.5,3000,294,34,43,41,36,37,29,32,42,0.11564625850340136,0.14625850340136054,0.13945578231292516,0.12244897959183673,0.12585034013605442,0.09863945578231292,0.10884353741496598,0.14285714285714285,41,0.13945578231292516,07,43,1
26401,29400,27900.5,3000,294,37,43,38,34,36,31,35,40,0.12585034013605442,0.14625850340136054,0.1292517006802721,0.11564625850340136,0.12244897959183673,0.1054421768707483,0.11904761904761904,0.1360544217687075,38,0.1292517006802721,07,43,3
26701,29700,28200.5,3000,293,40,41,37,36,34,31,36,38,0.13651877133105803,0.13993174061433447,0.12627986348122866,0.12286689419795221,0.11604095563139932,0.10580204778156997,0.12286689419795221,0.1296928327645051,37,0.12627986348122866,07,41,1
27001,30000,28500.5,3000,284,39,41,32,35,34,31,34,38,0.13732394366197184,0.1443661971830986,0.11267605633802817,0.12323943661971831,0.11971830985915492,0.10915492957746478,0.11971830985915492,0.13380281690140844,32,0.11267605633802817,07,41,2
27301,30300,28800.5,3000,286,38,40,32,35,33,33,36,39,0.13286713286713286,0.13986013986013987,0.11188811188811189,0.12237762237762238,0.11538461538461539,0.11538461538461539,0.1258741258741259,0.13636363636363635,32,0.11188811188811189,07,40,1
27601,30600,29100.5,3000,290,36,39,32,38,34,35,38,38,0.12413793103448276,0.13448275862068965,0.1103448275862069,0.1310344827586207,0.11724137931034483,0.1206896551724138,0.1310344827586207,0.1310344827586207,32,0.1103448275862069,07,39,1
27901,30900,29400.5,3000,288,38,41,31,36,31,36,37,38,0.13194444444444445,0.1423611111111111,0.1076388888888889,0.125,0.1076388888888889,0.125,0.1284722222222222,0.13194444444444445,31,0.1076388888888889,07,41,3
28201,31200,29700.5,3000,289,36,39,33,38,29,38,37,39,0.1245674740484429,0.13494809688581316,0.11418685121107267,0.1314878892733564,0.10034602076124567,0.1314878892733564,0.12802768166089964,0.13494809688581316,33,0.11418685121107267,07,39,0
28501,31500,30000.5,3000,289,35,41,35,39,32,37,34,36,0.12110726643598616,0.14186851211072665,0.12110726643598616,0.13494809688581316,0.11072664359861592,0.12802768166089964,0.11764705882352941,0.1245674740484429,35,0.12110726643598616,07,41,2
28801,31800,30300.5,3000,283,34,40,35,38,33,33,34,36,0.12014134275618374,0.1413427561837456,0.12367491166077739,0.13427561837455831,0.1166077738515901,0.1166077738515901,0.12014134275618374,0.127208480565371,35,0.12367491166077739,07,40,2
29101,32100,30600.5,3000,283,35,36,33,37,36,34,36,36,0.12367491166077739,0.127208480565371,0.1166077738515901,0.13074204946996468,0.127208480565371,0.12014134275618374,0.127208480565371,0.127208480565371,33,0.1166077738515901,13,37,1
29401,32400,30900.5,3000,282,33,34,35,41,35,33,34,37,0.11702127659574468,0.12056737588652482,0.12411347517730496,0.1453900709219858,0.12411347517730496,0.11702127659574468,0.12056737588652482,0.13120567375886524,35,0.12411347517730496,13,41,4
29701,32700,31200.5,3000,286,31,35,37,44,36,32,33,38,0.10839160839160839,0.12237762237762238,0.12937062937062938,0.15384615384615385,0.1258741258741259,0.11188811188811189,0.11538461538461539,0.13286713286713286,37,0.12937062937062938,13,44,6
30001,33000,31500.5,3000,293,31,37,38,44,35,35,34,39,0.10580204778156997,0.12627986348122866,0.1296928327645051,0.15017064846416384,0.11945392491467577,0.11945392491467577,0.11604095563139932,0.13310580204778158,38,0.1296928327645051,13,44,5
30301,33300,31800.5,3000,289,30,37,38,42,34,34,36,38,0.10380622837370242,0.12802768166089964,0.1314878892733564,0.1453287197231834,0.11764705882352941,0.11764705882352941,0.1245674740484429,0.1314878892733564,38,0.1314878892733564,13,42,4
30601,33600,32100.5,3000,296,32,37,39,41,34,35,39,39,0.10810810810810811,0.125,0.13175675675675674,0.13851351351351351,0.11486486486486487,0.11824324324324324,0.13175675675675674,0.13175675675675674,39,0.13175675675675674,13,41,2
30901,33900,32400.5,3000,298,32,34,39,39,38,38,40,38,0.10738255033557047,0.11409395973154363,0.13087248322147652,0.13087248322147652,0.12751677852348994,0.12751677852348994,0.1342281879194631,0.12751677852348994,39,0.13087248322147652,23,40,1
