01,07,11,13,17,19,23,29,window_start,window_stop,gap_23_29,gap_29_01,reset_pressure,boundary_pressure,z_29,z_gap_29_01,z_reset_pressure,sparse_event,state
48,48,48,56,48,46,54,52,3160,3560,2,4,0.04,0.018867924528301886,0.45685695309877017,-0.26593078007087634,-0.26949209587578565,0,balanced
46,48,49,56,48,49,51,53,3200,3600,2,7,0.0707070707070707,0.019230769230769232,0.689322595489349,0.5121681567856634,0.5203261161665188,0,29-leading
45,50,51,54,47,51,50,52,3240,3640,2,7,0.07216494845360824,0.0196078431372549,0.45685695309877017,0.5121681567856634,0.5578242678505674,0,29-leading
47,50,52,53,49,49,50,50,3280,3680,0,3,0.030927835051546393,0.0,-0.008074331682387506,-0.5252970923563896,-0.5028377369268083,0,balanced
46,46,55,52,50,50,51,50,3320,3720,1,4,0.041666666666666664,0.009900990099009901,-0.008074331682387506,-0.26593078007087634,-0.2266236731827001,0,balanced
46,48,54,51,52,47,50,52,3360,3760,2,6,0.061224489795918366,0.0196078431372549,0.45685695309877017,0.2528018445001502,0.2764241441341208,0,29-leading
49,46,53,49,50,49,53,51,3400,3800,2,2,0.02,0.019230769230769232,0.22439131070819132,-0.7846634046419029,-0.783913168192813,0,balanced
49,48,55,50,48,49,52,49,3440,3840,3,0,0.0,0.0297029702970297,-0.24053997407296634,-1.3033960292129294,-1.2983342405098401,0,balanced
48,51,52,49,48,50,53,49,3480,3880,4,1,0.010309278350515464,0.0392156862745098,-0.24053997407296634,-1.0440297169274162,-1.0331687393154962,0,balanced
52,51,50,47,49,48,52,51,3520,3920,1,1,0.009708737864077669,0.009708737864077669,0.22439131070819132,-1.0440297169274162,-1.0486152733656522,0,balanced
50,51,50,49,51,51,49,49,3560,3960,0,1,0.010101010101010102,0.0,-0.24053997407296634,-1.0440297169274162,-1.038525618127503,0,balanced
50,53,51,52,50,48,47,49,3600,4000,2,1,0.010101010101010102,0.020833333333333332,-0.24053997407296634,-1.0440297169274162,-1.038525618127503,0,balanced
48,54,50,55,50,47,46,50,3640,4040,4,2,0.02040816326530612,0.041666666666666664,-0.008074331682387506,-0.7846634046419029,-0.7734147789618533,0,balanced
46,56,51,52,47,47,49,52,3680,4080,3,6,0.061224489795918366,0.0297029702970297,0.45685695309877017,0.2528018445001502,0.2764241441341208,0,29-leading
47,57,50,54,45,47,51,49,3720,4120,2,2,0.020833333333333332,0.02,-0.24053997407296634,-0.7846634046419029,-0.7624789568462702,0,balanced
48,55,49,53,44,48,55,48,3760,4160,7,0,0.0,0.06796116504854369,-0.47300561646354516,-1.3033960292129294,-1.2983342405098401,0,23-leading
45,55,50,53,41,51,52,53,3800,4200,1,8,0.08163265306122448,0.009523809523809525,0.689322595489349,0.7715344690711767,0.8013436056821077,0,29-leading
45,54,48,54,40,53,55,51,3840,4240,4,6,0.0625,0.03773584905660377,0.22439131070819132,0.2528018445001502,0.30923161048087006,0,29-leading
45,54,47,50,42,56,55,51,3880,4280,4,6,0.0625,0.03773584905660377,0.22439131070819132,0.2528018445001502,0.30923161048087006,0,29-leading
44,54,49,54,40,56,54,49,3920,4320,5,5,0.053763440860215055,0.04854368932038835,-0.24053997407296634,-0.0065644677853630845,0.08451810442840518,0,balanced
44,53,52,51,40,56,55,49,3960,4360,6,5,0.053763440860215055,0.057692307692307696,-0.24053997407296634,-0.0065644677853630845,0.08451810442840518,0,23-leading
45,49,52,51,41,55,56,51,4000,4400,5,6,0.0625,0.04672897196261682,0.22439131070819132,0.2528018445001502,0.30923161048087006,0,29-leading
45,48,51,53,42,55,55,51,4040,4440,4,6,0.0625,0.03773584905660377,0.22439131070819132,0.2528018445001502,0.30923161048087006,0,29-leading
43,48,50,54,44,57,54,50,4080,4480,4,7,0.07526881720430108,0.038461538461538464,-0.008074331682387506,0.5121681567856634,0.6376590424037034,0,29-leading
46,49,49,51,42,54,55,54,4120,4520,1,8,0.08,0.009174311926605505,0.9217882378799278,0.7715344690711767,0.759350048758269,0,29-leading
45,50,49,52,48,55,51,50,4160,4560,1,5,0.05263157894736842,0.009900990099009901,-0.008074331682387506,-0.0065644677853630845,0.055405423482336756,0,balanced
50,47,49,53,49,54,52,46,4200,4600,6,4,0.041666666666666664,0.061224489795918366,-0.9379369012447029,-0.26593078007087634,-0.2266236731827001,0,23-leading
50,47,51,52,51,50,50,49,4240,4640,1,1,0.010101010101010102,0.010101010101010102,-0.24053997407296634,-1.0440297169274162,-1.038525618127503,0,balanced
51,46,52,55,51,45,49,51,4280,4680,2,0,0.0,0.02,0.22439131070819132,-1.3033960292129294,-1.2983342405098401,0,balanced
50,45,52,51,54,46,51,51,4320,4720,0,1,0.009900990099009901,0.0,0.22439131070819132,-1.0440297169274162,-1.043670343323193,0,balanced
50,47,49,54,55,43,50,52,4360,4760,2,2,0.0196078431372549,0.0196078431372549,0.45685695309877017,-0.7846634046419029,-0.7939998558853036,0,balanced
54,48,50,51,54,45,48,50,4400,4800,2,4,0.038461538461538464,0.02040816326530612,-0.008074331682387506,-0.26593078007087634,-0.30906294759248,0,balanced
55,49,51,48,51,44,49,53,4440,4840,4,2,0.018518518518518517,0.0392156862745098,0.689322595489349,-0.7846634046419029,-0.8220184328088891,0,balanced
56,48,50,49,54,42,46,55,4480,4880,9,1,0.009009009009009009,0.0891089108910891,1.1542538802705067,-1.0440297169274162,-1.0666130367634317,0,balanced
54,46,53,51,57,45,41,53,4520,4920,12,1,0.009345794392523364,0.1276595744680851,0.689322595489349,-1.0440297169274162,-1.0579505618570237,0,balanced
54,49,49,49,54,45,43,57,4560,4960,14,3,0.02702702702702703,0.14,1.6191851650516644,-0.5252970923563896,-0.6031706292706142,0,balanced
50,50,50,48,55,43,46,58,4600,5000,12,8,0.07407407407407407,0.11538461538461539,1.8516508074422433,0.7715344690711767,0.6069289902939644,0,29-leading
51,51,48,49,54,46,43,58,4640,5040,15,7,0.06422018348623854,0.1485148514851485,1.8516508074422433,0.5121681567856634,0.3534765421595135,0,29-leading
51,52,50,47,52,49,44,55,4680,5080,11,4,0.03773584905660377,0.1111111111111111,1.1542538802705067,-0.26593078007087634,-0.3277284436852605,0,balanced
54,53,47,47,53,48,42,56,4720,5120,14,2,0.01818181818181818,0.14285714285714285,1.3867195226610856,-0.7846634046419029,-0.8306787202216336,0,balanced
54,54,51,45,51,48,44,53,4760,5160,9,1,0.009345794392523364,0.09278350515463918,0.689322595489349,-1.0440297169274162,-1.0579505618570237,0,balanced
50,57,51,46,51,47,48,50,4800,5200,2,0,0.0,0.02040816326530612,-0.008074331682387506,-1.3033960292129294,-1.2983342405098401,0,balanced
51,53,50,48,53,50,47,48,4840,5240,1,3,0.030303030303030304,0.010526315789473684,-0.47300561646354516,-0.5252970923563896,-0.5189083733628291,0,balanced
52,54,52,46,50,48,51,47,4880,5280,4,5,0.050505050505050504,0.04081632653061224,-0.705471258854124,-0.0065644677853630845,0.0007088714018448078,0,balanced
54,55,47,44,50,48,52,50,4920,5320,2,4,0.038461538461538464,0.0196078431372549,-0.008074331682387506,-0.26593078007087634,-0.30906294759248,0,balanced
54,54,50,45,49,47,53,48,4960,5360,5,6,0.058823529411764705,0.04950495049504951,-0.47300561646354516,0.2528018445001502,0.21466891336376942,0,01-leading
54,56,49,46,50,47,50,48,5000,5400,2,6,0.058823529411764705,0.02040816326530612,-0.47300561646354516,0.2528018445001502,0.21466891336376942,0,01-leading
