01,07,11,13,17,19,23,29,window_start,window_stop,gap_23_29,gap_29_01,reset_pressure,boundary_pressure,z_29,z_gap_29_01,z_reset_pressure,sparse_event,state
50,49,53,50,47,43,49,59,40480,40880,10,9,0.08256880733944955,0.09259259259259259,2.084116449832822,1.03090078135669,0.8254224800650432,1,29-leading
48,50,55,53,47,41,46,60,40560,40960,14,12,0.1111111111111111,0.1320754716981132,2.316582092223401,1.8089997182132298,1.5595606056958669,1,29-leading
47,49,58,54,47,41,45,59,40600,41000,14,12,0.11320754716981132,0.1346153846153846,2.084116449832822,1.8089997182132298,1.613483149963899,1,29-leading
54,57,50,51,44,53,50,41,42200,42600,9,13,0.1368421052631579,0.0989010989010989,-2.100265113197597,2.068366030498743,2.2213888858698203,1,01-leading
55,47,49,50,55,48,54,42,44720,45120,12,13,0.13402061855670103,0.125,-1.8677994708070182,2.068366030498743,2.148817275016631,1,01-leading
51,52,47,51,51,51,56,41,45440,45840,15,10,0.10869565217391304,0.15463917525773196,-2.100265113197597,1.2902670936422032,1.497432456865308,1,01-leading
51,54,46,48,51,53,56,41,45480,45880,15,10,0.10869565217391304,0.15463917525773196,-2.100265113197597,1.2902670936422032,1.497432456865308,1,01-leading
53,47,49,50,50,59,52,40,48400,48800,12,13,0.13978494623655913,0.13043478260869565,-2.3327307555881758,2.068366030498743,2.2970818563295974,1,01-leading
41,44,59,48,51,48,53,56,49240,49640,3,15,0.15463917525773196,0.027522935779816515,1.3867195226610856,2.5870986550697697,2.6791482774053192,1,29-leading
40,40,57,50,54,50,54,55,49280,49680,1,15,0.15789473684210525,0.009174311926605505,1.1542538802705067,2.5870986550697697,2.7628847514666908,1,29-leading
47,39,47,48,51,54,55,59,49360,49760,4,12,0.11320754716981132,0.03508771929824561,2.084116449832822,1.8089997182132298,1.613483149963899,1,29-leading
46,39,44,48,54,52,57,60,49400,49800,3,14,0.1320754716981132,0.02564102564102564,2.316582092223401,2.3277323427842562,2.098786048376189,1,29-leading
59,46,45,50,53,54,47,46,50920,51320,1,13,0.12380952380952381,0.010752688172043012,-0.9379369012447029,2.068366030498743,1.8861771595479477,1,01-leading
