window_start,window_stop,window_center,prime_count,lane_01,lane_07,lane_11,lane_13,lane_17,lane_19,lane_23,lane_29
68701,71700,70200.5,269,31,36,32,33,29,37,31,40
69001,72000,70500.5,274,33,36,32,32,31,38,31,41
69301,72300,70800.5,276,33,34,33,34,34,40,29,39
69601,72600,71100.5,273,34,36,32,32,32,40,30,37
69901,72900,71400.5,278,34,35,32,38,32,41,29,37
70201,73200,71700.5,277,32,35,31,37,33,42,33,34
70501,73500,72000.5,272,31,36,30,40,32,40,31,32
70801,73800,72300.5,275,33,31,32,38,36,39,35,31
71101,74100,72600.5,270,30,34,31,36,37,37,37,28
71401,74400,72900.5,268,31,35,32,37,36,34,35,28
71701,74700,73200.5,267,32,34,35,34,38,34,32,28
72001,75000,73500.5,265,31,35,36,34,36,36,32,25
72301,75300,73800.5,263,29,37,35,34,34,35,31,28
72601,75600,74100.5,269,31,36,34,35,38,32,31,32
72901,75900,74400.5,268,31,35,36,32,37,30,34,33
73201,76200,74700.5,265,31,36,35,33,35,31,32,32
73501,76500,75000.5,268,32,33,34,33,36,30,37,33
73801,76800,75300.5,265,31,37,35,34,34,30,33,31
74101,77100,75600.5,266,32,35,36,37,32,28,33,33
74401,77400,75900.5,265,30,34,39,34,31,29,35,33
74701,77700,76200.5,272,33,37,38,32,31,32,36,33
75001,78000,76500.5,269,31,34,37,36,30,31,36,34
75301,78300,76800.5,268,32,34,37,34,30,32,38,31
75601,78600,77100.5,266,32,36,37,33,29,33,35,31
75901,78900,77400.5,265,33,39,34,32,30,32,35,30
76201,79200,77700.5,263,32,37,34,31,31,31,36,31
76501,79500,78000.5,264,31,36,36,30,33,32,33,33
76801,79800,78300.5,263,31,36,35,29,31,35,32,34
77101,80100,78600.5,266,31,36,36,30,34,35,30,34
77401,80400,78900.5,267,33,36,33,30,36,36,30,33
77701,80700,79200.5,262,30,35,33,31,38,33,29,33
78001,81000,79500.5,263,31,35,31,31,39,34,28,34
78301,81300,79800.5,269,31,34,33,33,40,32,31,35
78601,81600,80100.5,267,29,32,33,35,36,35,33,34
78901,81900,80400.5,268,26,33,36,35,35,37,29,37
79201,82200,80700.5,275,30,33,34,38,36,38,30,36
79501,82500,81000.5,276,31,36,34,36,36,38,31,34
79801,82800,81300.5,280,32,34,35,36,37,38,33,35
80101,83100,81600.5,274,32,34,31,36,34,39,35,33
80401,83400,81900.5,269,32,32,29,36,35,38,34,33
80701,83700,82200.5,269,32,33,29,37,33,37,34,34
81001,84000,82500.5,265,33,33,30,34,33,34,36,32
81301,84300,82800.5,260,34,34,29,31,32,33,33,34
81601,84600,83100.5,265,35,32,30,30,37,34,33,34
81901,84900,83400.5,262,40,29,29,29,36,32,34,33
82201,85200,83700.5,258,38,31,30,26,36,31,32,34
82501,85500,84000.5,256,37,30,29,30,35,30,30,35
82801,85800,84300.5,254,36,30,31,29,36,28,32,32
83101,86100,84600.5,253,35,30,32,29,37,29,28,33
83401,86400,84900.5,263,36,31,37,32,35,31,28,33
83701,86700,85200.5,259,35,29,37,31,33,34,30,30
84001,87000,85500.5,260,32,29,40,30,32,36,30,31
84301,87300,85800.5,261,32,29,42,33,31,35,29,30
84601,87600,86100.5,260,33,31,39,36,29,32,30,30
84901,87900,86400.5,265,33,31,40,38,29,33,33,28
85201,88200,86700.5,260,32,29,39,40,30,31,30,29
85501,88500,87000.5,256,33,28,39,35,30,30,31,30
85801,88800,87300.5,252,35,27,35,36,29,30,29,31
86101,89100,87600.5,261,38,28,36,38,31,28,31,31
86401,89400,87900.5,254,35,28,33,35,30,27,36,30
86701,89700,88200.5,262,38,26,33,38,34,26,35,32
87001,90000,88500.5,263,38,28,29,39,34,28,33,34
87301,90300,88800.5,268,38,31,27,36,36,30,36,34
87601,90600,89100.5,264,36,29,28,35,35,33,35,33
87901,90900,89400.5,258,33,30,27,34,36,33,33,32
88201,91200,89700.5,266,34,30,29,33,37,35,35,33
88501,91500,90000.5,271,33,31,27,37,37,38,38,30
88801,91800,90300.5,269,32,29,30,38,36,36,39,29
89101,92100,90600.5,264,31,30,31,35,33,37,40,27
89401,92400,90900.5,269,32,31,30,38,36,36,37,29
89701,92700,91200.5,267,34,33,27,38,34,35,35,31
90001,93000,91500.5,271,37,33,31,37,37,33,35,28
90301,93300,91800.5,267,36,29,30,39,37,34,34,28
90601,93600,92100.5,269,35,31,31,38,38,32,35,29
90901,93900,92400.5,266,36,31,31,37,36,31,34,30
91201,94200,92700.5,264,34,34,32,38,32,31,34,29
91501,94500,93000.5,265,37,35,33,35,32,30,32,31
91801,94800,93300.5,272,38,39,30,38,32,30,31,34
92101,95100,93600.5,273,36,35,30,40,34,31,31,36
92401,95400,93900.5,269,37,34,31,38,32,29,31,37
92701,95700,94200.5,266,33,34,36,35,30,31,33,34
93001,96000,94500.5,268,35,35,33,37,29,31,34,34
93301,96300,94800.5,265,35,35,32,36,28,31,34,34
93601,96600,95100.5,264,36,35,33,34,29,30,33,34
93901,96900,95400.5,269,35,37,34,36,31,31,32,33
94201,97200,95700.5,268,37,36,32,34,34,30,33,32
94501,97500,96000.5,262,34,34,32,36,33,30,32,31
94801,97800,96300.5,259,34,32,32,30,35,34,34,28
95101,98100,96600.5,258,35,35,33,27,34,32,33,29
95401,98400,96900.5,253,34,36,31,25,35,35,31,26
95701,98700,97200.5,253,33,35,28,27,36,33,32,29
96001,99000,97500.5,253,29,33,29,27,38,34,31,32
96301,99300,97800.5,255,28,32,31,28,38,35,32,31
96601,99600,98100.5,254,28,32,32,27,38,39,30,28
96901,99900,98400.5,257,29,32,31,27,36,40,32,30
97201,100200,98700.5,254,28,30,30,28,32,40,33,33
97501,100500,99000.5,257,27,35,31,29,30,39,34,32
97801,100800,99300.5,258,26,35,30,30,29,39,34,35
98101,101100,99600.5,255,25,34,30,28,30,39,36,33
98401,101400,99900.5,263,26,34,31,32,29,39,38,34
98701,101700,100200.5,264,27,34,33,31,29,39,40,31
99001,102000,100500.5,261,26,35,34,29,28,39,40,30
99301,102300,100800.5,266,30,35,35,29,28,40,39,30
99601,102600,101100.5,268,31,35,32,30,28,37,42,33
