window_start,window_stop,window_center,lane_01,lane_07,lane_11,lane_13,lane_17,lane_19,lane_23,lane_29
12001,15000,13500.5,35,40,42,42,42,37,38,40
12301,15300,13800.5,39,38,38,41,45,38,39,39
12601,15600,14100.5,39,35,40,40,44,39,39,38
12901,15900,14400.5,37,38,41,38,48,40,38,37
13201,16200,14700.5,40,38,40,37,48,38,36,36
13501,16500,15000.5,39,37,41,41,45,36,38,35
13801,16800,15300.5,39,35,40,41,45,36,38,33
14101,17100,15600.5,40,38,40,41,41,35,40,34
14401,17400,15900.5,38,41,43,40,41,38,41,33
14701,17700,16200.5,39,40,41,37,42,41,40,32
15001,18000,16500.5,42,38,39,37,42,43,37,32
15301,18300,16800.5,40,38,40,39,40,44,34,34
15601,18600,17100.5,38,42,42,41,37,42,35,33
15901,18900,17400.5,38,39,39,39,34,38,36,35
16201,19200,17700.5,37,36,40,37,33,39,35,36
16501,19500,18000.5,38,39,39,38,32,41,35,38
16801,19800,18300.5,38,41,40,37,32,40,35,38
17101,20100,18600.5,38,40,40,37,32,41,34,38
17401,20400,18900.5,39,37,39,40,34,40,34,41
17701,20700,19200.5,39,36,40,41,32,36,36,38
18001,21000,19500.5,34,36,40,41,31,37,38,39
18301,21300,19800.5,35,38,40,40,30,35,38,39
18601,21600,20100.5,33,36,38,38,36,39,37,40
18901,21900,20400.5,36,37,40,39,38,41,39,36
19201,22200,20700.5,38,40,38,42,38,41,40,36
19501,22500,21000.5,37,34,37,41,41,38,39,36
19801,22800,21300.5,39,32,39,41,42,39,37,38
20101,23100,21600.5,39,31,40,39,47,38,38,37
20401,23400,21900.5,40,31,40,37,45,36,35,38
20701,23700,22200.5,38,33,39,37,48,38,34,40
21001,24000,22500.5,40,35,40,38,46,36,34,39
21301,24300,22800.5,41,33,39,38,47,38,36,37
21601,24600,23100.5,43,32,37,35,43,36,37,38
21901,24900,23400.5,42,31,36,36,41,36,33,40
22201,25200,23700.5,39,33,36,34,42,35,34,39
22501,25500,24000.5,40,35,35,34,41,36,35,39
22801,25800,24300.5,39,36,31,34,39,36,41,37
23101,26100,24600.5,38,36,28,36,34,40,39,37
23401,26400,24900.5,37,37,30,36,36,40,41,36
23701,26700,25200.5,36,39,32,33,34,38,43,36
24001,27000,25500.5,37,35,35,34,36,36,44,36
24301,27300,25800.5,37,35,35,35,36,33,41,37
24601,27600,26100.5,36,38,36,35,36,31,36,38
24901,27900,26400.5,35,38,36,38,39,29,39,39
25201,28200,26700.5,38,37,38,37,37,29,37,39
25501,28500,27000.5,37,38,37,34,35,30,38,41
25801,28800,27300.5,37,39,40,37,37,32,33,41
26101,29100,27600.5,34,43,41,36,37,29,32,42
26401,29400,27900.5,37,43,38,34,36,31,35,40
26701,29700,28200.5,40,41,37,36,34,31,36,38
27001,30000,28500.5,39,41,32,35,34,31,34,38
27301,30300,28800.5,38,40,32,35,33,33,36,39
27601,30600,29100.5,36,39,32,38,34,35,38,38
27901,30900,29400.5,38,41,31,36,31,36,37,38
28201,31200,29700.5,36,39,33,38,29,38,37,39
28501,31500,30000.5,35,41,35,39,32,37,34,36
28801,31800,30300.5,34,40,35,38,33,33,34,36
29101,32100,30600.5,35,36,33,37,36,34,36,36
29401,32400,30900.5,33,34,35,41,35,33,34,37
29701,32700,31200.5,31,35,37,44,36,32,33,38
30001,33000,31500.5,31,37,38,44,35,35,34,39
30301,33300,31800.5,30,37,38,42,34,34,36,38
30601,33600,32100.5,32,37,39,41,34,35,39,39
30901,33900,32400.5,32,34,39,39,38,38,40,38
31201,34200,32700.5,33,36,36,37,39,36,38,36
31501,34500,33000.5,36,33,37,39,39,35,40,37
31801,34800,33300.5,36,32,36,38,37,37,42,38
32101,35100,33600.5,35,32,39,40,35,38,40,38
32401,35400,33900.5,35,34,41,36,34,36,39,38
32701,35700,34200.5,37,35,38,32,35,38,38,35
33001,36000,34500.5,37,33,39,32,35,37,38,35
33301,36300,34800.5,36,38,41,31,36,36,36,34
33601,36600,35100.5,36,35,39,35,36,35,35,32
33901,36900,35400.5,35,39,40,35,34,31,34,34
34201,37200,35700.5,35,38,38,37,34,33,35,38
34501,37500,36000.5,33,37,35,38,34,35,36,35
34801,37800,36300.5,33,40,35,39,34,34,32,36
35101,38100,36600.5,36,42,33,39,35,30,31,35
35401,38400,36900.5,34,43,32,38,35,34,34,33
35701,38700,37200.5,33,40,33,38,33,33,34,38
36001,39000,37500.5,34,43,33,39,32,32,36,34
36301,39300,37800.5,33,39,32,41,32,35,37,35
36601,39600,38100.5,34,39,36,37,29,34,38,36
36901,39900,38400.5,32,38,36,38,28,38,36,37
37201,40200,38700.5,30,37,37,37,28,39,39,35
37501,40500,39000.5,30,38,38,35,26,37,39,35
37801,40800,39300.5,30,35,35,32,27,39,40,34
38101,41100,39600.5,28,37,36,32,25,42,43,34
38401,41400,39900.5,31,34,36,36,26,42,41,34
38701,41700,40200.5,31,35,37,37,28,42,41,34
39001,42000,40500.5,31,33,36,36,30,42,38,39
39301,42300,40800.5,31,32,37,38,31,40,37,40
39601,42600,41100.5,31,36,33,39,34,42,36,39
39901,42900,41400.5,31,35,33,40,35,40,38,37
40201,43200,41700.5,32,36,31,40,35,37,38,38
40501,43500,42000.5,35,35,34,37,36,36,37,38
40801,43800,42300.5,35,36,38,40,36,36,37,35
41101,44100,42600.5,38,33,37,38,37,36,37,33
41401,44400,42900.5,38,32,37,37,36,35,35,36
41701,44700,43200.5,36,33,37,38,37,33,35,35
42001,45000,43500.5,35,33,37,38,37,33,35,35
42301,45300,43800.5,36,34,36,33,36,33,37,32
42601,45600,44100.5,35,31,36,34,37,31,36,33
42901,45900,44400.5,37,31,34,35,39,27,35,32
43201,46200,44700.5,38,29,37,35,38,27,34,32
43501,46500,45000.5,38,31,35,36,37,31,30,34
43801,46800,45300.5,38,31,34,35,35,28,31,39
44101,47100,45600.5,36,32,34,34,37,26,29,41
44401,47400,45900.5,34,34,32,33,39,26,30,41
44701,47700,46200.5,36,33,32,33,37,30,28,41
45001,48000,46500.5,37,36,33,31,37,30,29,38
45301,48300,46800.5,37,36,32,33,36,31,25,41
45601,48600,47100.5,37,36,34,31,35,30,29,40
45901,48900,47400.5,37,36,36,30,33,36,27,40
46201,49200,47700.5,36,38,34,30,35,35,27,42
46501,49500,48000.5,33,38,36,32,35,35,31,40
46801,49800,48300.5,34,38,32,32,39,37,30,37
47101,50100,48600.5,35,39,34,34,37,37,33,36
47401,50400,48900.5,37,39,36,33,36,36,35,33
47701,50700,49200.5,37,40,36,32,35,33,36,31
48001,51000,49500.5,35,37,35,34,34,33,36,32
48301,51300,49800.5,37,36,34,35,37,33,37,29
48601,51600,50100.5,38,38,36,33,36,33,36,32
48901,51900,50400.5,38,38,32,32,36,31,39,35
49201,52200,50700.5,39,39,34,32,36,33,37,30
49501,52500,51000.5,39,38,32,31,34,31,37,31
49801,52800,51300.5,38,37,38,29,33,30,39,31
50101,53100,51600.5,37,38,35,28,34,31,38,33
50401,53400,51900.5,35,37,34,31,34,33,33,35
50701,53700,52200.5,34,37,34,32,35,35,33,37
51001,54000,52500.5,35,37,35,30,37,35,32,37
51301,54300,52800.5,35,38,36,30,34,33,32,37
51601,54600,53100.5,35,37,35,32,35,36,31,34
51901,54900,53400.5,35,37,37,30,34,36,31,31
52201,55200,53700.5,34,36,36,27,33,36,33,34
52501,55500,54000.5,37,34,34,28,36,37,32,35
52801,55800,54300.5,38,32,34,29,35,37,32,36
53101,56100,54600.5,37,31,36,31,35,36,31,38
53401,56400,54900.5,37,32,33,29,34,38,34,36
53701,56700,55200.5,38,31,33,29,35,40,35,34
54001,57000,55500.5,40,32,33,32,34,41,38,32
54301,57300,55800.5,37,31,35,33,36,41,39,36
54601,57600,56100.5,36,32,30,32,37,39,38,35
54901,57900,56400.5,35,34,32,33,35,40,38,37
55201,58200,56700.5,36,33,32,35,37,39,39,37
55501,58500,57000.5,34,36,36,36,37,37,38,36
55801,58800,57300.5,33,39,34,37,36,38,37,33
56101,59100,57600.5,34,36,34,36,36,38,38,31
56401,59400,57900.5,34,37,35,36,36,36,41,33
56701,59700,58200.5,33,39,36,34,36,35,41,33
57001,60000,58500.5,30,38,36,32,34,34,37,34
57301,60300,58800.5,30,39,35,31,35,36,36,32
57601,60600,59100.5,28,38,36,32,33,34,36,33
57901,60900,59400.5,29,36,35,34,36,33,34,34
58201,61200,59700.5,29,36,37,34,34,33,32,31
58501,61500,60000.5,31,35,34,33,31,32,37,31
58801,61800,60300.5,31,36,34,32,32,31,40,31
59101,62100,60600.5,32,39,34,32,30,32,37,31
59401,62400,60900.5,32,37,36,33,30,29,34,30
59701,62700,61200.5,31,35,33,36,32,26,34,31
60001,63000,61500.5,35,33,33,36,33,26,36,31
60301,63300,61800.5,36,35,31,34,29,24,35,32
60601,63600,62100.5,40,36,32,34,32,28,35,32
60901,63900,62400.5,40,36,32,34,32,27,37,32
61201,64200,62700.5,39,35,29,36,36,26,35,34
61501,64500,63000.5,35,34,30,37,36,28,33,34
61801,64800,63300.5,34,33,29,39,34,27,31,35
62101,65100,63600.5,35,29,28,36,37,29,34,33
62401,65400,63900.5,34,30,28,37,38,31,35,32
62701,65700,64200.5,35,35,27,34,36,35,34,33
63001,66000,64500.5,34,36,27,33,39,37,33,32
63301,66300,64800.5,32,33,30,32,41,37,35,31
63601,66600,65100.5,31,30,30,35,39,34,35,32
63901,66900,65400.5,31,28,31,36,37,33,35,29
64201,67200,65700.5,31,27,32,36,35,35,38,31
64501,67500,66000.5,32,27,34,35,38,38,36,32
64801,67800,66300.5,33,26,35,32,40,40,35,35
65101,68100,66600.5,32,30,35,36,37,38,34,36
65401,68400,66900.5,34,28,36,32,35,38,31,37
65701,68700,67200.5,35,21,37,33,37,35,31,37
66001,69000,67500.5,33,23,36,34,34,32,32,39
66301,69300,67800.5,36,24,34,36,33,33,33,39
66601,69600,68100.5,33,25,37,34,33,34,32,37
66901,69900,68400.5,31,26,35,30,36,36,31,37
67201,70200,68700.5,33,28,38,28,34,35,28,38
67501,70500,69000.5,34,30,37,27,32,34,28,38
67801,70800,69300.5,33,33,34,29,30,33,27,38
68101,71100,69600.5,34,30,35,26,31,36,27,40
68401,71400,69900.5,33,34,32,30,33,37,29,41
68701,71700,70200.5,31,36,32,33,29,37,31,40
69001,72000,70500.5,33,36,32,32,31,38,31,41
69301,72300,70800.5,33,34,33,34,34,40,29,39
69601,72600,71100.5,34,36,32,32,32,40,30,37
69901,72900,71400.5,34,35,32,38,32,41,29,37
70201,73200,71700.5,32,35,31,37,33,42,33,34
70501,73500,72000.5,31,36,30,40,32,40,31,32
70801,73800,72300.5,33,31,32,38,36,39,35,31
71101,74100,72600.5,30,34,31,36,37,37,37,28
71401,74400,72900.5,31,35,32,37,36,34,35,28
71701,74700,73200.5,32,34,35,34,38,34,32,28
72001,75000,73500.5,31,35,36,34,36,36,32,25
72301,75300,73800.5,29,37,35,34,34,35,31,28
72601,75600,74100.5,31,36,34,35,38,32,31,32
72901,75900,74400.5,31,35,36,32,37,30,34,33
73201,76200,74700.5,31,36,35,33,35,31,32,32
73501,76500,75000.5,32,33,34,33,36,30,37,33
73801,76800,75300.5,31,37,35,34,34,30,33,31
74101,77100,75600.5,32,35,36,37,32,28,33,33
74401,77400,75900.5,30,34,39,34,31,29,35,33
74701,77700,76200.5,33,37,38,32,31,32,36,33
75001,78000,76500.5,31,34,37,36,30,31,36,34
75301,78300,76800.5,32,34,37,34,30,32,38,31
75601,78600,77100.5,32,36,37,33,29,33,35,31
75901,78900,77400.5,33,39,34,32,30,32,35,30
76201,79200,77700.5,32,37,34,31,31,31,36,31
76501,79500,78000.5,31,36,36,30,33,32,33,33
76801,79800,78300.5,31,36,35,29,31,35,32,34
77101,80100,78600.5,31,36,36,30,34,35,30,34
77401,80400,78900.5,33,36,33,30,36,36,30,33
77701,80700,79200.5,30,35,33,31,38,33,29,33
78001,81000,79500.5,31,35,31,31,39,34,28,34
78301,81300,79800.5,31,34,33,33,40,32,31,35
78601,81600,80100.5,29,32,33,35,36,35,33,34
78901,81900,80400.5,26,33,36,35,35,37,29,37
79201,82200,80700.5,30,33,34,38,36,38,30,36
79501,82500,81000.5,31,36,34,36,36,38,31,34
79801,82800,81300.5,32,34,35,36,37,38,33,35
80101,83100,81600.5,32,34,31,36,34,39,35,33
80401,83400,81900.5,32,32,29,36,35,38,34,33
80701,83700,82200.5,32,33,29,37,33,37,34,34
81001,84000,82500.5,33,33,30,34,33,34,36,32
81301,84300,82800.5,34,34,29,31,32,33,33,34
81601,84600,83100.5,35,32,30,30,37,34,33,34
81901,84900,83400.5,40,29,29,29,36,32,34,33
82201,85200,83700.5,38,31,30,26,36,31,32,34
82501,85500,84000.5,37,30,29,30,35,30,30,35
82801,85800,84300.5,36,30,31,29,36,28,32,32
83101,86100,84600.5,35,30,32,29,37,29,28,33
83401,86400,84900.5,36,31,37,32,35,31,28,33
83701,86700,85200.5,35,29,37,31,33,34,30,30
84001,87000,85500.5,32,29,40,30,32,36,30,31
84301,87300,85800.5,32,29,42,33,31,35,29,30
84601,87600,86100.5,33,31,39,36,29,32,30,30
84901,87900,86400.5,33,31,40,38,29,33,33,28
85201,88200,86700.5,32,29,39,40,30,31,30,29
85501,88500,87000.5,33,28,39,35,30,30,31,30
85801,88800,87300.5,35,27,35,36,29,30,29,31
86101,89100,87600.5,38,28,36,38,31,28,31,31
86401,89400,87900.5,35,28,33,35,30,27,36,30
86701,89700,88200.5,38,26,33,38,34,26,35,32
87001,90000,88500.5,38,28,29,39,34,28,33,34
87301,90300,88800.5,38,31,27,36,36,30,36,34
87601,90600,89100.5,36,29,28,35,35,33,35,33
87901,90900,89400.5,33,30,27,34,36,33,33,32
88201,91200,89700.5,34,30,29,33,37,35,35,33
88501,91500,90000.5,33,31,27,37,37,38,38,30
88801,91800,90300.5,32,29,30,38,36,36,39,29
89101,92100,90600.5,31,30,31,35,33,37,40,27
89401,92400,90900.5,32,31,30,38,36,36,37,29
89701,92700,91200.5,34,33,27,38,34,35,35,31
90001,93000,91500.5,37,33,31,37,37,33,35,28
90301,93300,91800.5,36,29,30,39,37,34,34,28
90601,93600,92100.5,35,31,31,38,38,32,35,29
90901,93900,92400.5,36,31,31,37,36,31,34,30
91201,94200,92700.5,34,34,32,38,32,31,34,29
91501,94500,93000.5,37,35,33,35,32,30,32,31
91801,94800,93300.5,38,39,30,38,32,30,31,34
92101,95100,93600.5,36,35,30,40,34,31,31,36
92401,95400,93900.5,37,34,31,38,32,29,31,37
92701,95700,94200.5,33,34,36,35,30,31,33,34
93001,96000,94500.5,35,35,33,37,29,31,34,34
93301,96300,94800.5,35,35,32,36,28,31,34,34
93601,96600,95100.5,36,35,33,34,29,30,33,34
93901,96900,95400.5,35,37,34,36,31,31,32,33
94201,97200,95700.5,37,36,32,34,34,30,33,32
94501,97500,96000.5,34,34,32,36,33,30,32,31
94801,97800,96300.5,34,32,32,30,35,34,34,28
95101,98100,96600.5,35,35,33,27,34,32,33,29
95401,98400,96900.5,34,36,31,25,35,35,31,26
95701,98700,97200.5,33,35,28,27,36,33,32,29
96001,99000,97500.5,29,33,29,27,38,34,31,32
96301,99300,97800.5,28,32,31,28,38,35,32,31
96601,99600,98100.5,28,32,32,27,38,39,30,28
96901,99900,98400.5,29,32,31,27,36,40,32,30
97201,100200,98700.5,28,30,30,28,32,40,33,33
97501,100500,99000.5,27,35,31,29,30,39,34,32
97801,100800,99300.5,26,35,30,30,29,39,34,35
98101,101100,99600.5,25,34,30,28,30,39,36,33
98401,101400,99900.5,26,34,31,32,29,39,38,34
98701,101700,100200.5,27,34,33,31,29,39,40,31
99001,102000,100500.5,26,35,34,29,28,39,40,30
99301,102300,100800.5,30,35,35,29,28,40,39,30
99601,102600,101100.5,31,35,32,30,28,37,42,33
99901,102900,101400.5,31,33,33,30,29,37,40,29
100201,103200,101700.5,31,34,34,31,31,36,39,26
100501,103500,102000.5,32,30,34,30,34,35,35,28
100801,103800,102300.5,32,31,34,31,33,33,35,27
101101,104100,102600.5,33,31,33,37,32,34,33,29
101401,104400,102900.5,32,29,33,36,33,34,33,29
101701,104700,103200.5,31,29,32,37,33,33,30,31
102001,105000,103500.5,35,29,32,39,30,31,29,33
102301,105300,103800.5,31,31,29,36,31,28,29,32
102601,105600,104100.5,31,31,30,35,31,29,29,33
102901,105900,104400.5,32,32,28,35,29,29,31,34
103201,106200,104700.5,29,33,29,35,29,29,33,34
103501,106500,105000.5,31,34,29,37,33,30,35,32
103801,106800,105300.5,32,35,33,40,34,30,31,32
104101,107100,105600.5,33,35,32,38,35,28,31,33
104401,107400,105900.5,32,37,33,34,32,27,31,33
104701,107700,106200.5,33,37,31,32,31,28,31,31
105001,108000,106500.5,33,35,30,31,36,27,32,26
105301,108300,106800.5,34,38,33,33,34,28,33,26
105601,108600,107100.5,35,36,32,35,34,28,32,23
105901,108900,107400.5,33,35,34,34,37,29,32,23
106201,109200,107700.5,38,34,33,32,39,29,32,26
106501,109500,108000.5,37,34,35,30,34,28,33,27
106801,109800,108300.5,34,35,34,26,33,30,35,26
107101,110100,108600.5,32,36,34,27,31,32,36,26
107401,110400,108900.5,35,31,34,28,31,32,34,25
107701,110700,109200.5,36,34,36,30,32,33,34,25
108001,111000,109500.5,34,35,37,29,28,34,34,31
108301,111300,109800.5,36,32,33,29,27,33,32,33
108601,111600,110100.5,33,34,36,28,26,31,33,35
108901,111900,110400.5,35,35,37,26,25,28,36,37
109201,112200,110700.5,31,34,38,27,24,30,34,35
109501,112500,111000.5,29,34,37,26,25,34,34,34
109801,112800,111300.5,31,32,36,29,26,30,33,35
110101,113100,111600.5,34,31,37,27,28,30,32,34
110401,113400,111900.5,33,34,37,29,32,31,34,35
110701,113700,112200.5,29,34,36,27,33,28,33,34
111001,114000,112500.5,28,33,34,26,34,31,36,31
111301,114300,112800.5,25,34,37,27,36,31,37,30
111601,114600,113100.5,26,33,34,28,35,30,35,31
111901,114900,113400.5,26,31,32,30,35,34,33,32
112201,115200,113700.5,27,33,32,32,34,31,33,30
112501,115500,114000.5,28,31,33,31,32,32,32,32
112801,115800,114300.5,27,31,35,32,33,31,36,32
113101,116100,114600.5,27,32,34,33,31,31,36,32
113401,116400,114900.5,28,32,35,31,28,31,34,32
113701,116700,115200.5,30,28,36,32,29,32,35,34
114001,117000,115500.5,32,29,36,35,28,30,32,34
114301,117300,115800.5,31,27,38,36,27,29,31,35
114601,117600,116100.5,34,28,38,34,26,31,34,34
114901,117900,116400.5,34,30,40,36,25,29,32,35
115201,118200,116700.5,36,29,38,34,27,30,31,36
115501,118500,117000.5,35,29,35,36,29,29,34,34
115801,118800,117300.5,34,29,34,34,27,31,30,37
116101,119100,117600.5,33,28,33,34,30,30,30,36
116401,119400,117900.5,32,27,31,35,31,30,31,35
116701,119700,118200.5,33,29,28,36,31,32,30,36
117001,120000,118500.5,33,29,31,36,29,32,32,34
