window_start,window_stop,window_center,window_size,prime_count,pre_boundary_count,post_boundary_count,boundary_imbalance,boundary_abs_imbalance,lane13_count,lane17_count,reflection_gap_13_17,reflection_abs_gap_13_17,reflection_ratio_13_17,boundary_pressure,reflection_pressure,lane_01,lane_07,lane_11,lane_13,lane_17,lane_19,lane_23,lane_29,leader_lane,leader_count
24001,27000,25500.5,3000,293,141,152,-11,11,34,36,-2,2,0.9444444444444444,0.03754266211604096,0.02857142857142857,37,35,35,34,36,36,44,36,23,44
24301,27300,25800.5,3000,289,142,147,-5,5,35,36,-1,1,0.9722222222222222,0.01730103806228374,0.014084507042253521,37,35,35,35,36,33,41,37,23,41
24601,27600,26100.5,3000,286,145,141,4,4,35,36,-1,1,0.9722222222222222,0.013986013986013986,0.014084507042253521,36,38,36,35,36,31,36,38,07,38
24901,27900,26400.5,3000,293,147,146,1,1,38,39,-1,1,0.9743589743589743,0.0034129692832764505,0.012987012987012988,35,38,36,38,39,29,39,39,17,39
25201,28200,26700.5,3000,292,150,142,8,8,37,37,0,0,1.0,0.0273972602739726,0.0,38,37,38,37,37,29,37,39,29,39
25501,28500,27000.5,3000,290,146,144,2,2,34,35,-1,1,0.9714285714285714,0.006896551724137931,0.014492753623188406,37,38,37,34,35,30,38,41,29,41
25801,28800,27300.5,3000,296,153,143,10,10,37,37,0,0,1.0,0.033783783783783786,0.0,37,39,40,37,37,32,33,41,29,41
26101,29100,27600.5,3000,294,154,140,14,14,36,37,-1,1,0.972972972972973,0.047619047619047616,0.0136986301369863,34,43,41,36,37,29,32,42,07,43
26401,29400,27900.5,3000,294,152,142,10,10,34,36,-2,2,0.9444444444444444,0.034013605442176874,0.02857142857142857,37,43,38,34,36,31,35,40,07,43
26701,29700,28200.5,3000,293,154,139,15,15,36,34,2,2,1.0588235294117647,0.051194539249146756,0.02857142857142857,40,41,37,36,34,31,36,38,07,41
27001,30000,28500.5,3000,284,147,137,10,10,35,34,1,1,1.0294117647058822,0.035211267605633804,0.014492753623188406,39,41,32,35,34,31,34,38,07,41
27301,30300,28800.5,3000,286,145,141,4,4,35,33,2,2,1.0606060606060606,0.013986013986013986,0.029411764705882353,38,40,32,35,33,33,36,39,07,40
27601,30600,29100.5,3000,290,145,145,0,0,38,34,4,4,1.1176470588235294,0.0,0.05555555555555555,36,39,32,38,34,35,38,38,07,39
27901,30900,29400.5,3000,288,146,142,4,4,36,31,5,5,1.1612903225806452,0.013888888888888888,0.07462686567164178,38,41,31,36,31,36,37,38,07,41
28201,31200,29700.5,3000,289,146,143,3,3,38,29,9,9,1.3103448275862069,0.010380622837370242,0.13432835820895522,36,39,33,38,29,38,37,39,07,39
28501,31500,30000.5,3000,289,150,139,11,11,39,32,7,7,1.21875,0.03806228373702422,0.09859154929577464,35,41,35,39,32,37,34,36,07,41
28801,31800,30300.5,3000,283,147,136,11,11,38,33,5,5,1.1515151515151516,0.038869257950530034,0.07042253521126761,34,40,35,38,33,33,34,36,07,40
29101,32100,30600.5,3000,283,141,142,-1,1,37,36,1,1,1.0277777777777777,0.0035335689045936395,0.0136986301369863,35,36,33,37,36,34,36,36,13,37
29401,32400,30900.5,3000,282,143,139,4,4,41,35,6,6,1.1714285714285715,0.014184397163120567,0.07894736842105263,33,34,35,41,35,33,34,37,13,41
29701,32700,31200.5,3000,286,147,139,8,8,44,36,8,8,1.2222222222222223,0.027972027972027972,0.1,31,35,37,44,36,32,33,38,13,44
