window_start,previous_window_start,euclidean_drift,cosine_similarity_previous,cosine_drift,target_lane_count,target_lane_share,leader_lane
25501,25201,4.69041575982343,0.9989887539420343,0.0010112460579656535,37,0.12758620689655173,29
25801,25501,7.211102550927978,0.9977949515855418,0.0022050484144582327,40,0.13513513513513514,29
26101,25801,6.164414002968976,0.9982747031242076,0.0017252968757923703,41,0.13945578231292516,07
26401,26101,6.324555320336759,0.9981785185730019,0.0018214814269981172,38,0.1292517006802721,07
26701,26401,5.196152422706632,0.9987659079775904,0.0012340920224096497,37,0.12627986348122866,07
27001,26701,5.5677643628300215,0.9989798419868026,0.0010201580131974364,32,0.11267605633802817,07
27301,27001,3.4641016151377544,0.9994305718406657,0.000569428159334251,32,0.11188811188811189,07
27601,27301,4.898979485566356,0.9989298383258268,0.0010701616741731756,32,0.1103448275862069,07
27901,27601,4.898979485566356,0.9988692452139595,0.001130754786040522,31,0.1076388888888889,07
28201,27901,5.0,0.9988142665701373,0.0011857334298627231,33,0.11418685121107267,07
28501,28201,6.164414002968976,0.9981932553253366,0.001806744674663352,35,0.12110726643598616,07
28801,28501,4.47213595499958,0.9992579769343498,0.000742023065650188,35,0.12367491166077739,07
29101,28801,6.0,0.9982082605276268,0.0017917394723732105,33,0.1166077738515901,13
29401,29101,5.916079783099616,0.9982524938684234,0.0017475061315765927,35,0.12411347517730496,13
29701,29401,4.69041575982343,0.9990694799799331,0.0009305200200668828,37,0.12937062937062938,13
30001,29701,4.123105625617661,0.9994681627523251,0.0005318372476749156,38,0.1296928327645051,13
30301,30001,3.4641016151377544,0.9995422201016314,0.00045777989836859323,38,0.1314878892733564,13
30601,30301,4.123105625617661,0.9994684451791002,0.0005315548208998377,39,0.13175675675675674,13
30901,30601,6.324555320336759,0.9982147015116193,0.0017852984883807155,39,0.13087248322147652,23
31201,30901,5.5677643628300215,0.9988910597921885,0.001108940207811493,36,0.12371134020618557,17
31501,31201,5.385164807134504,0.9988142932069758,0.0011857067930242104,37,0.125,23
31801,31501,4.0,0.9992728593839437,0.0007271406160562766,36,0.12162162162162163,23
32101,31801,4.795831523312719,0.9989648272240105,0.0010351727759895235,39,0.13131313131313133,13
32401,32101,5.477225575051661,0.9987266607576418,0.0012733392423581735,41,0.13993174061433447,11
32701,32401,6.708203932499369,0.9980313702978071,0.0019686297021929144,38,0.13194444444444445,11
33001,32701,2.449489742783178,0.9997306842608242,0.00026931573917576834,39,0.13636363636363635,11
33301,33001,6.164414002968976,0.9981933833473029,0.0018066166526971017,41,0.1423611111111111,11
33601,33301,5.916079783099616,0.9984700242447431,0.0015299757552569293,39,0.13780918727915195,11
33901,33601,6.557438524302,0.9978556714366223,0.002144328563377651,40,0.14184397163120568,11
34201,33901,5.477225575051661,0.9987173815619392,0.0012826184380607675,38,0.13194444444444445,07
34501,34201,5.385164807134504,0.9987414088812941,0.001258591118705854,35,0.12367491166077739,13
34801,34501,5.291502622129181,0.998608473207887,0.0013915267921129626,35,0.12367491166077739,07
35101,34801,6.0,0.9982134940450653,0.0017865059549346807,33,0.11743772241992882,07
35401,35101,6.0,0.9982244073961217,0.0017755926038782732,32,0.11307420494699646,07
35701,35401,6.4031242374328485,0.9979722038490909,0.002027796150909089,33,0.11702127659574468,07
36001,35701,5.744562646538029,0.9983757496151806,0.0016242503848193923,33,0.1166077738515901,07
36301,36001,5.744562646538029,0.9983744649754961,0.0016255350245039102,32,0.11267605633802817,13
36601,36301,6.708203932499369,0.9977839529887469,0.0022160470112531083,36,0.127208480565371,07
36901,36601,5.291502622129181,0.9986130810427594,0.0013869189572406349,36,0.127208480565371,07
37201,36901,4.58257569495584,0.9989605542334662,0.0010394457665338086,37,0.13120567375886524,19
37501,37201,3.7416573867739413,0.9993768583551839,0.0006231416448161387,38,0.1366906474820144,23
37801,37501,5.830951894845301,0.9984715899348805,0.001528410065119501,35,0.12867647058823528,23
38101,37801,5.5677643628300215,0.9987091092483087,0.0012908907516913093,36,0.1299638989169675,23
38401,38101,6.244997998398398,0.9980534909249283,0.0019465090750716563,36,0.12857142857142856,19
38701,38401,2.6457513110645907,0.9997817154260826,0.0002182845739173711,37,0.12982456140350876,19
39001,38701,6.6332495807108,0.9978637029974463,0.0021362970025536887,36,0.12631578947368421,19
39301,39001,3.605551275463989,0.9993727274981236,0.0006272725018764413,37,0.12937062937062938,19
39601,39301,6.928203230275509,0.9977936016858872,0.002206398314112845,33,0.11379310344827587,19
39901,39601,3.872983346207417,0.9992989504998283,0.000701049500171691,33,0.11418685121107267,13
40201,39901,4.0,0.9992593650203785,0.0007406349796215128,31,0.10801393728222997,13
40501,40201,5.5677643628300215,0.9985058552667462,0.0014941447332538216,34,0.11805555555555555,29
40801,40501,5.916079783099616,0.9984975726463456,0.0015024273536543564,38,0.1296928327645051,13
41101,40801,5.291502622129181,0.9987686886763069,0.0012313113236931406,37,0.12802768166089964,01
41401,41101,4.123105625617661,0.9992362745324201,0.0007637254675798566,37,0.12937062937062938,01
41701,41401,3.4641016151377544,0.9994347577210246,0.0005652422789753642,37,0.13028169014084506,13
42001,41701,1.0,0.9999565631148707,4.343688512931099e-05,37,0.13074204946996468,13
42301,42001,6.48074069840786,0.9980906102297177,0.0019093897702823215,36,0.1299638989169675,23
