window_start,euclidean_drift,cosine_similarity_previous,cosine_drift,boundary_imbalance_delta,reflection_gap_delta,boundary_pressure,reflection_pressure
13201,4.47213595499958,0.999273122099323,0.0007268779006770476,6.0,-1.0,0.009584664536741214,0.12941176470588237
13501,6.082762530298219,0.9985057981194804,0.00149420188051963,7.0,7.0,0.01282051282051282,0.046511627906976744
13801,3.0,0.9997388642845274,0.0002611357154725935,-1.0,0.0,0.009771986970684038,0.046511627906976744
14101,5.656854249492381,0.9986691413531168,0.001330858646883204,6.0,4.0,0.02912621359223301,0.0
14401,5.830951894845301,0.9988037543041843,0.0011962456958156675,0.0,-1.0,0.02857142857142857,0.012345679012345678
14701,5.196152422706632,0.998950183365192,0.0010498166348079652,-7.0,-4.0,0.00641025641025641,0.06329113924050633
15001,5.477225575051661,0.9987832496302779,0.0012167503697221305,0.0,0.0,0.0064516129032258064,0.06329113924050633
15301,5.196152422706632,0.998887568665188,0.0011124313348119808,3.0,4.0,0.016181229773462782,0.012658227848101266
15601,6.557438524302,0.9982232268976041,0.0017767731023958788,11.0,5.0,0.05161290322580645,0.05128205128205128
15901,7.211102550927978,0.9986360573116788,0.0013639426883211847,-4.0,1.0,0.040268456375838924,0.0684931506849315
16201,4.358898943540674,0.9992695105717615,0.000730489428238501,-5.0,-1.0,0.023890784982935155,0.05714285714285714
16501,4.58257569495584,0.9993465397702195,0.0006534602297805225,1.0,2.0,0.02666666666666667,0.08571428571428572
16801,2.6457513110645907,0.9996981955386212,0.00030180446137884065,3.0,-1.0,0.036544850498338874,0.07246376811594203
17101,1.7320508075688772,0.9998724876291958,0.00012751237080421696,-1.0,0.0,0.03333333333333333,0.07246376811594203
17401,5.830951894845301,0.9985944414221585,0.0014055585778415258,-4.0,1.0,0.019736842105263157,0.08108108108108109
17701,6.0,0.9986101318572376,0.0013898681427624293,8.0,3.0,0.04697986577181208,0.1232876712328767
18001,5.656854249492381,0.9985747918175364,0.001425208182463611,-8.0,1.0,0.02027027027027027,0.1388888888888889
18301,3.3166247903554,0.9995046261497863,0.0004953738502136984,5.0,0.0,0.03728813559322034,0.14285714285714285
18601,8.366600265340756,0.9968310640599646,0.0031689359400354222,-18.0,-8.0,0.02356902356902357,0.02702702702702703
18901,6.557438524302,0.9985433950502691,0.0014566049497308775,5.0,-1.0,0.006535947712418301,0.012987012987012988
19201,5.196152422706632,0.9991326691941212,0.0008673308058787521,5.0,3.0,0.009584664536741214,0.05
19501,7.615773105863909,0.9980660741345153,0.001933925865484687,-8.0,-4.0,0.0165016501650165,0.0
19801,4.69041575982343,0.9991567808589396,0.0008432191410604473,0.0,-1.0,0.016286644951140065,0.012048192771084338
20101,5.830951894845301,0.9986220485892772,0.001377951410722833,-6.0,-7.0,0.03559870550161812,0.09302325581395349
20401,4.795831523312719,0.9992956444543605,0.0007043555456395234,5.0,0.0,0.019867549668874173,0.0975609756097561
20701,5.196152422706632,0.9989989825300779,0.0010010174699220942,-7.0,-3.0,0.04234527687296417,0.12941176470588237
21001,4.358898943540674,0.9992053632510345,0.000794636748965516,11.0,3.0,0.006493506493506494,0.09523809523809523
21301,4.358898943540674,0.9992165169375644,0.000783483062435586,-5.0,-1.0,0.022653721682847898,0.10588235294117647
21601,6.324555320336759,0.9986535992950621,0.0013464007049378557,0.0,1.0,0.023255813953488372,0.10256410256410256
21901,5.291502622129181,0.9989447996464353,0.001055200353564656,2.0,3.0,0.01694915254237288,0.06493506493506493
22201,4.58257569495584,0.9991016636319775,0.0008983363680225009,-3.0,-3.0,0.0273972602739726,0.10526315789473684
22501,3.0,0.999627483932876,0.00037251606712396246,1.0,1.0,0.023728813559322035,0.09333333333333334
22801,7.874007874011811,0.9971641014491739,0.0028358985508261103,-6.0,2.0,0.04436860068259386,0.0684931506849315
23101,7.681145747868608,0.9973494920489423,0.002650507951057701,1.0,7.0,0.041666666666666664,0.02857142857142857
23401,3.872983346207417,0.9994232907766506,0.0005767092233494031,-1.0,-2.0,0.04436860068259386,0.0
23701,5.477225575051661,0.9986223346962065,0.0013776653037934627,2.0,-1.0,0.037800687285223365,0.014925373134328358
24001,6.0,0.9983401985233163,0.0016598014766836533,0.0,-1.0,0.03754266211604096,0.02857142857142857
24301,4.47213595499958,0.9991730607825775,0.0008269392174224954,6.0,1.0,0.01730103806228374,0.014084507042253521
24601,6.4031242374328485,0.9980795390433865,0.0019204609566134678,9.0,0.0,0.013986013986013986,0.014084507042253521
24901,5.744562646538029,0.9987803886231121,0.0012196113768878636,-3.0,0.0,0.0034129692832764505,0.012987012987012988
25201,4.795831523312719,0.9989403184484426,0.0010596815515574454,7.0,1.0,0.0273972602739726,0.0
25501,4.69041575982343,0.9989887539420343,0.0010112460579656535,-6.0,-1.0,0.006896551724137931,0.014492753623188406
25801,7.211102550927978,0.9977949515855418,0.0022050484144582327,8.0,1.0,0.033783783783783786,0.0
26101,6.164414002968976,0.9982747031242076,0.0017252968757923703,4.0,-1.0,0.047619047619047616,0.0136986301369863
26401,6.324555320336759,0.9981785185730019,0.0018214814269981172,-4.0,-1.0,0.034013605442176874,0.02857142857142857
26701,5.196152422706632,0.9987659079775904,0.0012340920224096497,5.0,4.0,0.051194539249146756,0.02857142857142857
27001,5.5677643628300215,0.9989798419868026,0.0010201580131974364,-5.0,-1.0,0.035211267605633804,0.014492753623188406
27301,3.4641016151377544,0.9994305718406657,0.000569428159334251,-6.0,1.0,0.013986013986013986,0.029411764705882353
27601,4.898979485566356,0.9989298383258268,0.0010701616741731756,-4.0,2.0,0.0,0.05555555555555555
27901,4.898979485566356,0.9988692452139595,0.001130754786040522,4.0,1.0,0.013888888888888888,0.07462686567164178
28201,5.0,0.9988142665701373,0.0011857334298627231,-1.0,4.0,0.010380622837370242,0.13432835820895522
28501,6.164414002968976,0.9981932553253366,0.001806744674663352,8.0,-2.0,0.03806228373702422,0.09859154929577464
28801,4.47213595499958,0.9992579769343498,0.000742023065650188,0.0,-2.0,0.038869257950530034,0.07042253521126761
29101,6.0,0.9982082605276268,0.0017917394723732105,-12.0,-4.0,0.0035335689045936395,0.0136986301369863
29401,5.916079783099616,0.9982524938684234,0.0017475061315765927,5.0,5.0,0.014184397163120567,0.07894736842105263
29701,4.69041575982343,0.9990694799799331,0.0009305200200668828,4.0,2.0,0.027972027972027972,0.1
30001,4.123105625617661,0.9994681627523251,0.0005318372476749156,-1.0,1.0,0.023890784982935155,0.11392405063291139
30301,3.4641016151377544,0.9995422201016314,0.00045777989836859323,-2.0,-1.0,0.01730103806228374,0.10526315789473684
