window_start,window_center,mode_1_score,mode_2_score,mode_3_score,mode_4_score
24901,26400.5,-4.680468209093635,3.4541976089313957,3.906180487326052,-3.1300159450352654
25201,26700.5,-4.160371903676628,4.196727382689052,5.5077841263505904,-1.4619670916976213
25501,27000.5,-3.4467493322604033,1.1879637663805382,5.942413942136642,0.32883416303934376
25801,27300.5,-5.637047058156731,3.065745510840916,6.458569378386493,2.2410686809895854
26101,27600.5,-5.136922441658105,2.0657453209830776,10.056899783374767,1.1864261772474733
26401,27900.5,-4.895691308134952,0.5944873467779209,7.057091001008031,-0.5565591203907267
26701,28200.5,-4.371162245913412,1.3566588018516519,6.709449745886023,-2.1657132749181836
27001,28500.5,-1.297936369625993,2.075796929951081,5.486063486899617,-1.5587086415004638
27301,28800.5,-1.9748551028850063,-0.19021802545233688,4.402220919226108,-0.42840122138826453
27601,29100.5,-3.4220631644300052,-1.3145111804513459,2.052901256683232,-1.4850781753182998
27901,29400.5,-2.5851802961066386,-3.169509346638192,3.3424310146463188,-0.9092193950276537
28201,29700.5,-2.9429811581909173,-5.246702679962517,3.6618452419762733,1.3047103188217852
28501,30000.5,-3.0039750952665747,-3.290870109599625,3.5577843342752904,-0.8182392149839042
28801,30300.5,-0.9894628310894654,-1.1303143946379277,4.800851676434347,-1.7781240122117814
29101,30600.5,-0.9389238347746224,1.1207084815843589,0.27650243292296695,-1.0055584201886247
29401,30900.5,-0.7284896273755559,2.110594888362308,2.5972659418884314,0.3050884262317638
29701,31200.5,-2.3209770533213696,2.729010747648913,4.562540306867475,0.1407037461415799
30001,31500.5,-4.737840150969282,-0.30240099962579087,4.454127671282709,0.9970945827929759
30301,31800.5,-3.2723711683075565,-1.9711969992522358,4.3513639350217845,-0.2657942035676919
30601,32100.5,-5.624702338756385,-2.932459806118948,3.768682220199574,-0.23041915118397358
30901,32400.5,-6.234266889444862,-1.915215200219876,-1.9548008488992192,1.124755247213104
31201,32700.5,-3.7775399451398766,-0.040261003283006504,-2.0884357797038584,-0.883552222980913
31501,33000.5,-5.468332861036117,2.2269817413754343,-1.7302101472136084,-0.8704482391582237
31801,33300.5,-5.384588863393238,-0.25140774861994686,-2.7068354083291184,0.4242174061433901
32101,33600.5,-5.729132811821085,-1.5360794517174472,-0.7665080668810479,1.7124455381967836
32401,33900.5,-4.269557975896553,-2.4140536215256696,1.6019212079141654,1.8802384273213641
32701,34200.5,-2.317641711284992,-2.47346182185115,-2.0792503090086782,1.1453099904270276
33001,34500.5,-1.5979439645417757,-1.4857347400920748,-1.9077509148475738,1.6169121077331967
33301,34800.5,-2.370932947086795,-2.2238015829360105,0.20882276547883394,-0.054184457282861566
33601,35100.5,-0.648596678638231,0.4159907015276257,-0.6056911411067779,-1.4280048982857623
33901,35400.5,-0.46991669499413524,-0.16312656511791274,5.258812602990806,-2.3933773370606906
34201,35700.5,-2.70913565850994,-0.2895322064663401,4.863309898822889,0.3179359406162017
34501,36000.5,-0.9171241287932489,-1.751808827143131,1.2790506214783142,-1.405569662610181
34801,36300.5,-1.0586252984686702,-0.5440061152892628,4.2268289050049725,-0.8224078007017372
35101,36600.5,-0.38623837933330635,3.055429108720471,6.197515681215789,-3.8581618977112435
35401,36900.5,-0.9885064733461109,-1.2530940156346082,2.298692407174208,-5.02165581727537
35701,37200.5,-0.7552481906766083,-1.185114504789921,4.93789645631785,-0.5930787502852646
36001,37500.5,-0.9880143803224396,-2.607825487838427,5.413513597532182,-5.849074423540316
36301,37800.5,-1.3403204657942298,-2.9714061198358173,2.5009745945404496,-3.4632957240697815
36601,38100.5,-0.8113903163662508,-5.295475490182975,5.198510014412568,-1.9957060104322113
36901,38400.5,-0.8339548479615246,-7.286333161804869,3.8511264256290794,1.4028857272842465
37201,38700.5,-0.3907188918812455,-9.78737281541537,1.564035059292297,0.040531195300336824
37501,39000.5,1.0571324639925948,-10.78617828539882,3.9884608008985665,-0.34578370010581644
37801,39300.5,3.282558370401844,-10.821999072871307,-0.6473228580705847,0.80069737134753
38101,39600.5,1.5769396325772023,-16.04130908801805,-1.1372394241908417,0.35200205277966834
38401,39900.5,0.5310426445121618,-11.804042311213623,-1.3666111856768053,1.0780896386595722
38701,40200.5,-1.2851218572982095,-10.926815471490027,-1.5734937049931492,0.39267250009753685
39001,40500.5,-1.4764152211083323,-7.825981798866623,-1.2716815802454988,5.721067341218349
39301,40800.5,-1.9416836829271014,-5.329093399103385,0.25568391352174336,5.94117158943071
39601,41100.5,-3.4626947411636806,-4.884599353825708,-2.140355483115651,4.031670884728297
39901,41400.5,-3.096712679338212,-3.725051486442576,-2.7740816051146173,1.121827217895544
40201,41700.5,-2.487847535896548,-1.9158706820144544,-0.7966830188230974,-0.02412023944110484
40501,42000.5,-2.6875413033716713,0.14304462471574036,-0.4075620867048376,1.1766889091658688
40801,42300.5,-4.373827952212889,-0.28725306213658863,0.4603040396680749,-1.5169071286288331
41101,42600.5,-2.771537414636576,2.1154822861577633,-2.274441138720664,-1.606637483202085
